Id,Name,Birth Date,City,State,Group,Gender,Status,Year,Death Mission,Death Date,Space Flight (hr),Space Flights,Space Walks (hr),Space Walks,Military Rank,Military Branch
226,Donald R. McMonagle,5/14/1952,Flint, MI,12,Male,Retired,1987,,,605,3,0,0,Colonel,US Air Force (Retired)
227,Ronald E. McNair,10/21/1950,Lake City, SC,8,Male,Deceased,1978,STS 51-L (Challenger),1/28/1986,191,2,0,0,,
228,Carl J. Meade,11/16/1950,Chanute Air Force Base, IL,11,Male,Retired,1985,,,712,3,6,1,Colonel,US Air Force (Retired)
229,Bruce E. Melnick,12/5/1949,New York, NY,12,Male,Retired,1987,,,311,2,0,0,Commander,US Coast Guard (Retired)
230,Pamela A. Melroy,9/17/1961,Palo Alto, CA,15,Female,Retired,1995,,,914,3,0,0,Colonel,US Air Force (Retired)
231,Leland D. Melvin,2/15/1964,Lynchburg, VA,17,Male,Management,1998,,,565,2,0,0,,
232,Dorothy M. Metcalf-Lindenberger,5/2/1975,Colorado Springs, CO,19,Female,Active,2004,,,362,1,0,0,,
233,F. Curtis Michel,6/5/1934,LaCrosse, WI,4,Male,Retired,1965,,,0,0,0,0,,
234,Edgar D. Mitchell,9/17/1930,Hereford, TX,5,Male,Retired,1966,,,216,1,9,2,Captain,US Navy (Retired)
235,Barbara R. Morgan,11/28/1951,Fresno, CA,17,Female,Retired,1998,,,305,1,0,0,,
236,Lee M. Morin,9/9/1952,Manchester, NH,16,Male,Management,1996,,,259,1,14,2,Captain,US Navy
237,Richard M. Mullane,9/10/1945,Wichita Falls, TX,8,Male,Retired,1978,,,356,3,0,0,Colonel,US Air Force (Retired)
238,Story Musgrave,8/19/1935,Boston, MA,6,Male,Retired,1967,,,1281,6,26,4,,
239,Steven R. Nagel,10/27/1946,Canton, IL,8,Male,Retired,1978,,,721,4,0,0,Colonel,US Air Force (Retired)
240,Bill Nelson,9/29/1942,Miami, FL,,Male,Retired,,,,146,1,0,0,Captain,US Army (Retired)
241,George D. Nelson,7/13/1950,Charles City, IA,8,Male,Retired,1978,,,411,3,10,2,,
242,James H. Newman,10/16/1956,San Diego, CA,13,Male,Retired,1990,,,1042,4,43,6,,
243,Carlos I. Noriega,10/8/1959,Lima, Peru,15,Male,Retired,1995,,,481,2,19,3,Lieutenant Colonel,US Marine Corps (Retired)
244,Lisa M. Nowak,5/10/1963,Washington, DC,16,Female,Retired,1996,,,306,1,0,0,Captain,US Navy (Retired)
245,Karen L. Nyberg,10/7/1969,Parker's Prairie, MN,18,Female,Active,2000,,,4320,2,0,0,,
246,Bryan D. O'Connor,9/6/1946,Orange, CA,9,Male,Retired,1980,,,383,2,0,0,Colonel,US Marine Corps (Retired)
247,Brian T. O'Leary,1/27/1940,Boston, MA,6,Male,Deceased,1967,,7/28/2011,0,0,0,0,,
248,Ellen Ochoa,5/10/1958,Los Angeles, CA,13,Female,Management,1990,,,979,4,0,0,,
249,William A. Oefelein,3/29/1965,Ft. Belvoir, VA,17,Male,Retired,1998,,,308,1,0,0,Commander,US Navy (Retired)
250,John D. Olivas,5/25/1966,North Hollywood, CA,17,Male,Retired,1998,,,665,2,34,5,,
251,Ellison S. Onizuka,6/24/1946,Kealakekua, HI,8,Male,Deceased,1978,STS 51-L (Challenger),1/28/1986,73,2,0,0,Lieutenant Colonel,US Air Force
252,Stephen S. Oswald,6/30/1951,Seattle, WA,11,Male,Retired,1985,,,814,3,0,0,,
253,Robert F. Overmyer,7/14/1936,Lorain, OH,7,Male,Deceased,1969,,3/22/1996,290,2,0,0,Colonel,US Marine Corps (Retired)
254,William A. Pailes,6/26/1952,Hackensack, NJ,,Male,Retired,,,,97,1,0,0,Colonel,US Air Force (Retired)
255,Scott E. Parazynski,7/28/1961,Little Rock, AR,14,Male,Retired,1992,,,1404,5,47,7,,
256,Ronald A. Parise,5/24/1951,Warren, OH,,Male,Deceased,,,5/9/2008,614,2,0,0,,
257,Robert A. Parker,12/14/1936,New York, NY,6,Male,Retired,1967,,,462,2,0,0,,
258,Niclolas J. M. Patrick,3/22/1964,North Yorkshire, England,17,Male,Retired,1998,,,638,2,18,3,,
259,James A. Pawelczyk,9/20/1960,Buffalo, NY,,Male,Retired,,,,381,1,0,0,,
260,Gary E. Payton,6/20/1948,Rock Island, IL,,Male,Retired,,,,73,1,0,0,Major,US Air Force
261,Donald H. Peterson,10/22/1933,Winona, MS,7,Male,Retired,1969,,,120,1,4,1,Colonel,US Air Force (Retired)
262,Donald R. Pettit,4/20/1955,Silverton, OR,16,Male,Active,1996,,,8872,3,13,2,,
263,John L. Phillips,4/15/1951,Ft. Belvoir, VA,16,Male,Retired,1996,,,4880,3,5,1,Captain,US Naval Reserves (Retired)
264,William R. Pogue,1/23/1930,Okemah, OK,5,Male,Retired,1966,,,2017,1,13,2,Colonel,US Air Force (Retired)
265,Alan G. Poindexter,11/5/1961,Pasadena, CA,17,Male,Deceased,1998,,7/1/2012,669,2,0,0,Captain,US Navy
266,Mark L. Polansky,6/2/1956,Paterson, NJ,16,Male,Retired,1996,,,995,3,0,0,,
267,Charles J. Precourt,6/29/1955,Waltham, MA,13,Male,Retired,1990,,,950,4,0,0,Colonel,US Air Force (Retired)
268,William F. Readdy,1/24/1952,Quonset Point, RI,12,Male,Retired,1987,,,672,3,0,0,Captain,US Navy (Retired)
269,Kenneth S. Reightler Jr. ,3/24/1951,Patuxent River, MD,12,Male,Retired,1987,,,327,2,0,0,Captain,US Navy (Retired)
270,James F. Reilly II ,3/18/1954,Mountain Home Air Force Base, ID,15,Male,Retired,1995,,,854,3,31,5,,
271,Garrett E. Reisman,2/10/1968,Morristown, NJ,17,Male,Retired,1998,,,2571,2,21,3,,
272,Judith A. Resnik,4/5/1949,Akron, OH,8,Female,Deceased,1978,STS 51-L (Challenger),1/28/1986,144,2,0,0,,
273,Paul W. Richards,5/20/1964,Scranton, PA,16,Male,Management,1996,,,307,1,6,1,,
274,Richard N. Richards,8/24/1946,Key West, FL,9,Male,Retired,1980,,,813,4,0,0,Captain,US Navy (Retired)
275,Sally K. Ride,5/26/1951,Los Angeles, CA,8,Female,Deceased,1978,,7/23/2012,343,2,0,0,,
276,Patricia Hilliard Robertson,3/12/1963,Indiana, PA,17,Female,Deceased,1998,,5/24/2001,0,0,0,0,,
277,Stephen K. Robinson,10/26/1955,Sacramento, CA,15,Male,Retired,1995,,,1162,4,20,3,,
278,Kent V. Rominger,8/7/1956,Del Norte, CO,14,Male,Retired,1992,,,1611,5,0,0,Captain,US Navy (Retired)
279,Stuart A. Roosa,8/16/1933,Durango, CO,5,Male,Deceased,1966,,12/12/1994,216,1,0,0,Colonel,US Air Force (Retired)
280,Jerry L. Ross,1/20/1948,Crown Point, IN,9,Male,Retired,1980,,,1393,7,58,9,Colonel,US Air Force (Retired)
281,Kathleen Rubins,10/14/1978,Farmington, CT,20,Female,Active,2009,,,2762,1,13,2,,
282,Mario Runco Jr. ,1/26/1952,Bronx, NY,12,Male,Management,1987,,04/23/01,551,3,0,0,Lieutenant Commander,US Navy (Retired)
283,Albert Sacco Jr.,5/3/1949,Boston, MA,,Male,Retired,,,,381,1,0,0,,
284,Robert L. Satcher Jr. ,9/22/1965,Hampton, VA,19,Male,Retired,2004,,,259,1,12,2,,
285,Walter M. Schirra Jr. ,3/12/1923,Hackensack, NJ,1,Male,Deceased,1959,,5/2/2007,295,3,0,0,Captain,US Navy (Retired)
286,Harrison H. Schmitt,7/3/1935,Santa Rita, NM,4,Male,Retired,1965,,,301,1,22,3,,
287,Russell L. Schweickart,10/25/1935,Neptune, NJ,3,Male,Retired,1963,,,241,1,1,1,,
288,Francis R. Scobee,5/19/1939,Cle Elum, WA,8,Male,Deceased,1978,STS 51-L (Challenger),1/28/1986,167,2,0,0,Major,US Air Force (Retired)
289,David R. Scott,6/6/1932,San Antonio, TX,3,Male,Retired,1963,,,546,3,19,4,Colonel,US Air Force (Retired)
290,Winston E. Scott,8/6/1950,Miami, FL,14,Male,Retired,1992,,,590,2,19,3,Captain,US Navy (Retired)
291,Paul D. Scully-Power,5/28/1944,Sydney, Australia,,Male,Retired,,,,197,1,0,0,,
292,Richard A. Searfoss,6/5/1956,Mount Clemens, MI,13,Male,Retired,1990,,,939,3,0,0,Colonel,US Air Force (Retired)
293,Margaret Rhea Seddon,11/8/1947,Murfreesboro, TN,8,Female,Retired,1978,,,722,3,0,0,,
294,Elliot M. See Jr. ,7/23/1927,Dallas, TX,2,Male,Deceased,1962,,2/28/1966,0,0,0,0,,
295,Ronald M. Sega,12/4/1952,Cleveland, OH,13,Male,Retired,1990,,,420,2,0,0,Colonel,US Air Force Reserves (Retired)
296,Piers J. Sellers,4/11/1955,Crowborough, England,16,Male,Management,1996,,,839,3,41,6,,
297,Brewster H. Shaw Jr. ,5/16/1945,Cass City, MI,8,Male,Retired,1978,,,533,3,0,0,Colonel,US Air Force (Retired)
298,Alan B. Shepard Jr. ,11/18/1923,East Derry, NH,1,Male,Deceased,1959,,7/21/1998,216,2,9,2,Rear Admiral,US Navy (Retired)
299,William M. Shepherd,7/26/1949,Oak Ridge, TN,10,Male,Retired,1984,,,3823,4,0,0,Captain,US Navy (Retired)
300,Loren J. Shriver,9/23/1944,Jefferson, IA,8,Male,Retired,1978,,,386,3,0,0,Colonel,US Air Force (Retired)
301,Donald K. Slayton,3/1/1924,Sparta, WI,1,Male,Deceased,1959,,6/13/1993,217,1,0,0,Major,US Air Force Reserves
302,Michael J. Smith,4/30/1945,Beaufort, NC,9,Male,Deceased,1980,STS 51-L (Challenger),1/28/1986,0,1,0,0,Captain,US Navy
303,Steven L. Smith,12/30/1958,Phoenix, AZ,14,Male,Management,1992,,,960,4,49,7,,
304,Sherwood C. Spring,9/23/1944,Hartford, CT,9,Male,Retired,1980,,,165,1,12,2,Colonel,US Army (Retired)
305,Robert C. Springer,5/21/1942,St. Louis, MO,9,Male,Retired,1980,,,237,2,0,0,Colonel,US Marine Corps (Retired)
306,Thomas P. Stafford,9/17/1930,Weatherford, OK,2,Male,Retired,1962,,,507,4,0,0,Lieutenant General,US Air Force (Retired)
307,Heidemarie M. Stefanyshyn-Piper,2/7/1963,St. Paul, MN,16,Female,Retired,1996,,,663,2,33,2,Captain,US Navy
308,Robert L. Stewart,8/13/1942,Washington, DC,8,Male,Retired,1978,,,289,2,12,2,Brigadier General,US Army (Retired)
309,Nicole P. Stott,11/19/1962,Albany, NY,18,Female,Active,2000,,,2477,2,6,1,,
310,Frederick W. Sturckow,8/11/1961,La Mesa, CA,15,Male,Retired,1995,,,1233,4,0,0,Colonel,US Marine Corps (Retired)
311,Kathryn D. Sullivan,10/3/1951,Patterson, NJ,8,Female,Retired,1978,,,532,3,3,1,,
312,Steven R. Swanson,12/3/1960,Syracuse, NY,17,Male,Active,1998,,,4700,3,28,5,,
313,John L. Swigert Jr. ,8/30/1931,Denver, CO,5,Male,Deceased,1966,,12/27/1982,142,1,0,0,,
314,Daniel M. Tani,2/1/1961,Ridley Park, PA,16,Male,Retired,1996,,,3162,2,39,6,,
315,Joseph R. Tanner,1/21/1950,Danville, IL,14,Male,Retired,1992,,,1045,4,46,7,,
316,Norman E. Thagard,7/3/1943,Marianna, FL,8,Male,Retired,1978,,,3373,5,0,0,,
317,Andrew S. W. Thomas,12/18/1951,Adelaide, Australia,14,Male,Management,1992,,,4257,4,6,1,,
318,Donald A. Thomas,5/6/1955,Cleveland, OH,13,Male,Retired,1990,,,1040,4,0,0,,
319,Stephen D. Thorne,2/11/1953,Frankfurt, West Germany,11,Male,Deceased,1985,,5/24/1986,0,0,0,0,Lieutenant Commander,US Navy
320,Kathryn C. Thornton,8/17/1952,Montgomery, AL,10,Female,Retired,1984,,,975,4,21,3,,
321,William E. Thornton,4/14/1929,Faison, NC,6,Male,Retired,1967,,,315,2,0,0,,
322,Pierre J. Thuot,5/19/1955,Groton, CT,11,Male,Retired,1985,,,654,3,17,3,Commander,US Navy
323,Scott D. Tingle,7/19/1965,Attleboro, MA,20,Male,Active,2009,,,0,0,0,0,Commander,US Navy
324,Richard H. Truly,11/12/1937,Fayette, MS,7,Male,Retired,1969,,,199,2,0,0,Vice Admiral,US Navy (Retired)
325,Lodewijk van den Berg,3/24/1932,Sluiskil, Netherlands,,Male,Retired,,,,168,1,0,0,,
326,James D. van Hoften,6/11/1944,Fresno, CA,8,Male,Retired,1978,,,338,2,22,4,,
327,Mark T. Vande Hei,11/10/1966,Falls Church, VA,20,Male,Active,2009,,,0,0,0,0,Colonel,US Army
328,Charles Lacy Veach,9/18/1944,Chicago, IL,10,Male,Deceased,1984,,10/3/1995,436,2,0,0,,
329,Terry W. Virts Jr. ,12/1/1967,Baltimore, MD,18,Male,Active,2000,,,5122,2,18,3,Colonel,US Air Force
330,James S. Voss,3/3/1949,Cordova, AL,12,Male,Retired,1987,,,4853,5,22,4,Colonel,US Army (Retired)
331,Janice E. Voss,10/8/1956,South Bend, IN,13,Female,Deceased,1990,,2/6/2012,1179,5,0,0,,
332,Rex J. Walheim,10/10/1962,Redwood, CA,16,Male,Active,1996,,,872,3,36,5,Colonel,US Air Force (Retired)
333,Charles D. Walker,8/29/1948,Bedford, IN,,Male,Retired,,,,477,3,0,0,,
334,David M. Walker,5/20/1944,Columbus, GA,8,Male,Deceased,1978,,4/23/2001,724,4,0,0,Captain,US Navy (Retired)
335,Shannon Walker,6/4/1965,Houston, TX,19,Female,Active,2004,,,3919,1,0,0,,
336,Carl E. Walz,9/6/1955,Cleveland, OH,13,Male,Retired,1990,,,5533,4,19,3,Colonel,US Air Force
337,Taylor G. Wang,6/16/1940,Jiangxi, China,,Male,Retired,,,,168,1,0,0,,
338,Mary E. Weber,8/24/1962,Cleveland, OH,14,Female,Retired,1992,,,450,2,0,0,,
339,Paul J. Weitz,6/25/1932,Erie, PA,5,Male,Retired,1966,,,793,2,2,1,Captain,US Navy (Retired)
340,James D. Wetherbee,11/27/1952,Flushing, NY,10,Male,Retired,1984,,,1594,6,0,0,Captain,US Navy (Retired)
341,Douglas H. Wheelock,5/5/1960,Binghamton, NY,17,Male,Active,1998,,,4281,2,43,6,Colonel,US Army
342,Edward H. White II ,11/14/1930,San Antonio, TX,2,Male,Deceased,1962,Apollo 1,1/27/1967,97,2,0.5,1,Lieutenant Colonel,US Air Force
343,Peggy A. Whitson,2/9/1960,Mt. Ayr, IA,16,Female,Active,1996,,,11698,3,46,7,,
344,Terrence W. Wilcutt,10/31/1949,Russellville, KY,13,Male,Management,1990,,,1008,4,0,0,,
345,Clifton C. Williams Jr. ,9/26/1932,Mobile, AL,3,Male,Deceased,1963,,10/5/1967,0,0,0,0,Major,US Marine Corps
346,Donald E. Williams,2/13/1958,Lafayette, IN,8,Male,Retired,1978,,,287,2,0,0,Captain,US Navy (Retired)
347,Jeffrey N. Williams,1/18/1958,Superior, WI,16,Male,Active,1996,,,12818,4,32,5,Colonel,US Army (Retired)
348,Sunita L. Williams,9/19/1965,Euclid, OH,17,Female,Active,1998,,,7721,2,50,7,Captain,US Navy
349,Barry E. Wilmore,12/29/1962,Murfreesboro, TN,18,Male,Active,2000,,,4272,2,25,4,Captain,US Navy
350,Stephanie D. Wilson,9/27/1966,Boston, MA,16,Female,Active,1996,,,1031,3,0,0,,
351,G. Reid Wiseman,11/11/1975,Baltimore, MD,20,Male,Active,2009,,,3968,1,13,2,Commander,US Navy
352,Peter J. K. Wisoff,8/16/1958,Norfolk, VA,13,Male,Retired,1990,,,1064,4,20,3,,
353,David A. Wolf,8/23/1956,Indianapolis, IN,13,Male,Retired,1990,,,4044,3,41,7,,
354,Neil W. Woodward III ,7/26/1962,Chicago, IL,17,Male,Retired,1998,,,0,0,0,0,Commander,US Navy
355,Alfred M. Worden,2/7/1932,Jackson, MI,5,Male,Retired,1966,,,295,1,0.5,1,Colonel,US Air Force (Retired)
356,John W. Young,9/24/1930,San Francisco, CA,2,Male,Retired,1962,,,835,6,20,3,Captain,US Navy (Retired)
357,George D. Zamka,6/29/1962,Jersey City, NJ,17,Male,Retired,1998,,,692,2,0,0,Colonel,US Marine Corps (Retired)
